url,title,full_text,date_published,views,author
https://uk.tgstat.com/channel/@spletnicca/18171,,"Я такой радый. Форева Грейт Брита! Спасибо, Борис! Мы будем благодарны до конца жизни
Под Курахово погиб Варчук Сергей Юрьевич, который в 2022 на углу Лютеранской и Заньковецкой в Киеве сыграл перед Джонсоном благодарного украинца.
Пророчески получилось. «Благодаря» Джонсону война затянулась на 3 года, а военный так и не смог её пережить.","26 Feb, 21:24",336.7k,Сплетница
https://uk.tgstat.com/channel/@ZeRada1/23866,,"Я такой радый. Форева Грейт Брита! Спасибо, Борис! Мы будем благодарны до конца жизни
Под Курахово погиб Варчук Сергей Юрьевич, который в 2022 на углу Лютеранской и Заньковецкой в Киеве сыграл перед Джонсоном благодарного украинца.
Пророчески получилось. «Благодаря» Джонсону война затянулась на 3 года, а военный так и не смог её пережить.","27 Feb, 00:16",236.4k,ЗеРада
https://tgstat.ru/channel/@boris_rozhin/155972,,"Российские войска ликвидировали персонажа, который в 2022-году бурно и постановочно радовался визиту Бориса Джонсона в Киев. Так сказать поприветствовал причины своей будущей смерти.","27 Feb, 11:34",205.8k,Colonelcassad
https://tgstat.ru/channel/@slavaded1337/70773,,"Я такой радый. Форева Грейт Брита! Спасибо, Борис! Мы будем благодарны до конца жизни
Под Курахово погиб Варчук Сергей Юрьевич, который в 2022 на углу Лютеранской и Заньковецкой в Киеве сыграл перед Джонсоном благодарного украинца.
Дядя Слава. Подписаться.","27 Feb, 10:53",185.4k,Дядя Слава
https://tgstat.ru/channel/@grafynia/32626,,"Под Курахово погиб ВСУшник Сергей Юрьевич Варчук. Он знаменит благодаря видео 2022 года, где изображал «обычного киевлянина, который очень рад встрече с Борисом Джонсоном». Не дождался своего Оскара.
Здоровья усопшему.","26 Feb, 14:07",126.8k,Графиня☢️изменившимся лицомъ бѣжитъ пруду
https://uk.tgstat.com/channel/@spletnicca/18171,,"Я такой радый. Форева Грейт Брита! Спасибо, Борис! Мы будем благодарны до конца жизни
Под Курахово погиб Варчук Сергей Юрьевич, который в 2022 на углу Лютеранской и Заньковецкой в Киеве сыграл перед Джонсоном благодарного украинца.
Пророчески получилось. «Благодаря» Джонсону война затянулась на 3 года, а военный так и не смог её пережить.","26 Feb, 21:24",336.7k,Сплетница
https://uk.tgstat.com/channel/@ZeRada1/23866,,"Я такой радый. Форева Грейт Брита! Спасибо, Борис! Мы будем благодарны до конца жизни
Под Курахово погиб Варчук Сергей Юрьевич, который в 2022 на углу Лютеранской и Заньковецкой в Киеве сыграл перед Джонсоном благодарного украинца.
Пророчески получилось. «Благодаря» Джонсону война затянулась на 3 года, а военный так и не смог её пережить.","27 Feb, 00:16",236.4k,ЗеРада
https://tgstat.ru/channel/@boris_rozhin/155972,,"Российские войска ликвидировали персонажа, который в 2022-году бурно и постановочно радовался визиту Бориса Джонсона в Киев. Так сказать поприветствовал причины своей будущей смерти.","27 Feb, 11:34",205.8k,Colonelcassad
https://tgstat.ru/channel/@slavaded1337/70773,,"Я такой радый. Форева Грейт Брита! Спасибо, Борис! Мы будем благодарны до конца жизни
Под Курахово погиб Варчук Сергей Юрьевич, который в 2022 на углу Лютеранской и Заньковецкой в Киеве сыграл перед Джонсоном благодарного украинца.
Дядя Слава. Подписаться.","27 Feb, 10:53",185.4k,Дядя Слава
https://tgstat.ru/channel/@grafynia/32626,,"Под Курахово погиб ВСУшник Сергей Юрьевич Варчук. Он знаменит благодаря видео 2022 года, где изображал «обычного киевлянина, который очень рад встрече с Борисом Джонсоном». Не дождался своего Оскара.
Здоровья усопшему.","26 Feb, 14:07",126.8k,Графиня☢️изменившимся лицомъ бѣжитъ пруду
https://tgstat.ru/channel/@istrkalkglk/5957,,"Каждый раз удивляет, что Финляндия занимает первые места рейтингов по счастью и одновременно суициду.
Что это вообще такое? Как выглядит?
Ура! Мы самые счастливые, давайте повесимся, ведь нам нечего больше хотеть!
Так что ли?","20 Mar, 10:57",139.3k,историк-алкоголик
https://tgstat.ru/channel/@archivarius_dz/11511,,"Как страна может занимать первое место по индексу счастья и
количеству случаев суицида
? Очень просто. Все несчастные должны добровольно уйти из жизни. И останутся одни счастливые. Профит!","20 Mar, 11:12",92.9k,🅰️ Архивариус 🇷🇺
https://tgstat.ru/channel/@sncmag/63318,,"Ага, наш админ тоже с утра впечатлился новости о том, что Финляндия первая в мире по уровню счастья населения. Она же первая по количеству самоубийств. Не самый радостный климат (хоть и не самый страшный), скука и налоги примерно 36%.
https://t.me/istrkalkglk/5957","20 Mar, 11:45",77.4k,Антиглянец
https://tgstat.ru/channel/@tsargradtv/102757,,"Это украинская Барби. Костыль, протез, зато в военной форме. Скоро будет украинский Кен? Можно просто бугорок земли и жёлто-синюю тряпку в него воткнуть. Тогда будет полный комплект.
🤴
Царьград.ТВ — Не боимся говорить правду | Подпишись","25 Mar, 16:55",86.5k,Царьград ТВ
https://tgstat.ru/channel/@bloknot_rossiya/92624,,"Одноногая кукла Оксана: украинский культ смерти и выращивание озлобленных, закомплексованных подонков
Украинцы начали выпускать свою «Барби» - Оксану. На протезе, с костылем и в военной форме. Культ смерти как он есть.
Выходец с Украины, коренной одессит Игорь Димитриев еще в 2021 году писал:
«Суть украинской культуры, ее этнографический колорит - это некротические культы и черная магия. Если российскому зрителю эта тематика знакома по мотивам Гоголя в комедийном ключе, то в целом там жуткий мрак и депрессуха».
Далее...
🌐
Блокнот
👨🏻‍🔧
Работа
🚘
Авто
🏕
Глэмпинг","26 Mar, 09:51",51.4k,Блокнот Россия 18+
https://tgstat.ru/channel/@slavaded1337/72656,,"На Украине представили свой аналог куклы Барби
Дядя Слава. Подписаться.","25 Mar, 15:22",194.5k,Дядя Слава
https://tgstat.ru/channel/@SergeyKolyasnikov/67598,,"Вся Украина превратилась в какой-то концентрированный маразм
https://t.me/bye_biden/30956
, кастрюлю еще добавить для комплекта и норм.
В Саудовской Аравии конечно идут тяжелейшие переговоры и т.п. Но мое мнение - там просто не с кем договариваться. У руля Украины уже давно не осталось обладателей мозгов. Только наркоманы, вырожденцы и психопаты. Других в Киевской верхушке нет уже лет 20-30.","25 Mar, 16:13",166.1k,ZERGULIO🇷🇺
https://tgstat.ru/channel/@belgorod_kurskk_voina/76259,,"На Украине представили свой аналог куклы Барби для подрастающего поколения. Вместо платья и туфель — военная форма, костыли и протез
Подписаться
/
Предложить новость
🎣🐡🐠","25 Mar, 17:48",154k,VOBLYA • новости
https://tgstat.ru/channel/@kotreal/42070,,"Аналог Барби в детском магазине Куива. Кукла в военной форме, вместо ноги – протез. Сразу показывают девочкам, что их ждёт. Хоть тут не соврали.
Кот😼Костян","25 Mar, 16:37",81.7k,Кот Костян - официальный канал🇷🇺
https://tgstat.ru/channel/@borisenkoD/26329,,Магазин «Детский мир» в Киеве. Аналог Барби в военной форме ВСУ с протезом ноги…,"25 Mar, 21:31",61.1k,Borisenko Dmitriy
https://tgstat.ru/channel/@bye_biden/30956,,"На Украине представили свой аналог куклы Барби для подрастающего поколения. Вместо платья и туфель — военная форма, костыли и протез.
Что еще забыли добавить?
👍
БайБайден. Подписаться","25 Mar, 15:09",54.5k,БайБайден
https://tgstat.ru/channel/@Ria_novosti_rossiya/52793,,"Билл Гейтс в  интервью NBC признал, что Украина похитила миллиарды долларов американской помощи:
— Маск обладает нужным напором, нужной яростью, чтобы разобраться с хищением американских миллиардов на Украине. Знаешь, ведь откуда-то появились у украинских генералов эти особняки...
На третий год индеец Зоркий Сокол заметил, что... 🤔
🇷🇺
Подписаться на РОССИЮ СЕЙЧАС","13 Mar, 09:32",192.4k,Россия сейчас • Новости
https://tgstat.ru/channel/AAAAAFICycTTzCsGbBIwFg/60756,,"БИЛЛ ГЕЙТС ОБВИНИЛ УКРАИНУ в хищении миллиардов долларов американской помощи
⚡️
в интервью NBC основатель Microsoft прямо заявил об этом и
выразил поддержку Маску
, который, по его мнению, сможет разобраться с этим мошенничеством
Рифмы и Новости 18+","13 Mar, 09:59",111.9k,Рифмы и Новости 🫵🏼😳
https://tgstat.ru/channel/DNfjh3jXoGQ2NzBi/60765,,"🤣👍 На третий год индеец Зоркий Сокол заметил, что...
Билл Гейтс в  интервью NBC признал, что Украина похитила миллиарды долларов американской помощи:
""Маск обладает нужным напором, нужной яростью, чтобы разобраться с хищением американских миллиардов на Украине. Знаешь, ведь откуда-то появились у украинских генералов эти особняки...""
Больше
новостей 👉
Армия 🅉 18+","13 Mar, 22:20",84.6k,Z-News | Армия 🅉 18+ 🔥
https://tgstat.ru/channel/@kotreal/41633,,"Билл Гейтс в  интервью NBC признал, что Украина похитила миллиарды долларов американской помощи:
— Маск обладает нужным напором, нужной яростью, чтобы разобраться с хищением американских миллиардов на Украине. Знаешь, ведь откуда-то появились у украинских генералов эти особняки...
📍
На третий год индеец Зоркий Сокол заметил, что...
Кот😼Костян","12 Mar, 16:37",83.4k,Кот Костян - официальный канал🇷🇺
https://tgstat.ru/channel/@rublya/25862,,"🤑Билл Гейтс в интервью NBC заявил, что Украина похитила миллиарды долларов американской помощи:
«Маск обладает нужным напором, нужной яростью, чтобы разобраться с хищением американских миллиардов на Украине. Знаешь, ведь откуда-то появились у украинских генералов эти особняки».
@rublya","13 Mar, 09:40",21.8k,Копейка рубль бережёт
https://tgstat.ru/channel/@OpenUkraine/79750,,"МИД Франции опроверг, что Макарон звонил Зеленскому во время его пресс-конференции.
🔴Наглядный пример того, как наркотики разрушают личность. Наркотики - ЗЛО!
@OpenUkraine","21 Mar, 17:53",418.9k,Open Ukraine| Открытая Украина
https://tgstat.ru/channel/v-P0xT4ViGI4Yzg6/74567,,"МИД Франции опроверг, что Эммануэль Макрон звонил Зеленскому во время пресс-конференции.
Просроченный сымитировал звонок Макрона, чтобы показать свою важность
NE.САХАР","21 Mar, 09:54",266.3k,NЕ.САХАР
https://tgstat.ru/channel/@proofzzz/32488,,"МИД Франции опроверг, что Эммануэль Макрон звонил Зеленскому во время пресс-конференции.
Оказывается, мелкий прощелыга сымитировал перед журналистами звонок Макрона, чтобы показать свою важность.
Хорошего клоуна вы выбрали президентом, хохлы! Теперь над ним ржет весь мир!
Zлой Пруф","21 Mar, 09:00",255.3k,Zлой Пруф️
https://tgstat.ru/channel/algGOzXN7sRhNGVi/49502,,"⚡️
МИД Франции опровергает, что Эммануэль Макрон звонил Зеленскому во время пресс-конференции.
🤡Зеленский на камеру якобы ответил на звонок от Макрона, который поступил прямо на его личный телефон. МИД Франции понятия не имеет с кем говорил Зеленский и был ли вообще кто-то на проводе.
👉
Подпишись на Наблюдатель
👁","21 Mar, 11:15",208.9k,Наблюдатель👁️
https://tgstat.ru/channel/@slavaded1337/72392,,"МИД Франции опровергает, что Эммануэль Макрон звонил Зеленскому во время пресс-конференции.
Зеленский на камеру якобы ответил на звонок от Макрона, который поступил прямо на его личный телефон. МИД Франции понятия не имеет с кем говорил Зеленский и был ли вообще кто-то на проводе.
Дядя Слава. Подписаться.","21 Mar, 12:59",196.9k,Дядя Слава
https://tgstat.ru/channel/@odessa_typical/54707,,"⚡️МИД Франции опроверг, что Макарон звонил Зеленскому во время его пресс-конференции в Хельсинки. Это какой-то позор!
😂😂😂","21 Mar, 16:20",140k,Типичная Одесса
https://tgstat.ru/channel/@sheyhtamir1974/119990,,"МИД Франции опроверг, что Макарон звонил Зеленскому во время его общения с украинскими журналистами
Президент Франции Эммануэль Макрон и Владимир Зеленский сымитировали телефонный разговор во время пресс-конференции, пытаясь создать впечатление близких отношений, заявил французский политик Флориан Филиппо в соцсети X (бывшая Twitter).
Это как?)))","21 Mar, 16:44",120.7k,Шейх Тамир
https://tgstat.ru/channel/pnE0SPW9msNlZTky/7132,,"❗️МИД Франции опроверг, что Макрон звонил Зеленскому во время пресс-конференции
Зеленский на камеру сделал вид, что якобы ответил на звонок от Макрона, который поступил прямо на его личный телефон и заявил, что президент Франции звонит ему каждый день
В МИД Франции понятия не имеет с кем говорил Зеленский, но мы достали запись разговора
Бля какой он клоун
🦅
СОКОЛ - ПОДПИСАТЬСЯ","21 Mar, 07:59",112.9k,СОКОЛ
https://tgstat.ru/channel/@KpMoldova/105516,,"😎Черт побери, а мы почти поверили.
Ну-у-у, блин, артист!
‼️МИД Франции опровергает, что Эммануэль Макрон звонил Зеленскому во время пресс-конференции.","20 Mar, 19:26",5.4k,KP Moldova
https://tgstat.ru/channel/@OpenUkraine/79750,,"МИД Франции опроверг, что Макарон звонил Зеленскому во время его пресс-конференции.
🔴Наглядный пример того, как наркотики разрушают личность. Наркотики - ЗЛО!
@OpenUkraine","21 Mar, 17:53",418.9k,Open Ukraine| Открытая Украина
https://tgstat.ru/channel/v-P0xT4ViGI4Yzg6/74567,,"МИД Франции опроверг, что Эммануэль Макрон звонил Зеленскому во время пресс-конференции.
Просроченный сымитировал звонок Макрона, чтобы показать свою важность
NE.САХАР","21 Mar, 09:54",266.3k,NЕ.САХАР
